n,x,y,z,steps,n_mod24,n_mod48,n_mod72,n_mod120
12553,3140,5630920,11097535385320,13134625,1,25,25,73
12649,3164,5717349,32688073870452,13336264,1,25,49,49
12841,3212,5892195,3329113743780,13744161,1,25,25,1
12913,3230,5958430,12426004864285,13898695,1,1,25,73
12961,3242,6002802,4850675207937,14002208,1,1,1,1
13009,3254,6047559,157345390062,14106325,1,1,49,49
13033,3260,6069655,51576990476980,14158183,1,25,1,73
13081,3272,6114492,635210115912,14262709,1,25,49,1
13129,3284,6159382,6988570323604,14367508,1,25,25,49
13201,3302,6227104,10439907987808,14525504,1,1,25,1
13249,3314,6273402,41558151549,14632259,1,1,1,49
13273,3320,6295195,55481265828040,14684363,1,25,25,73
13441,3362,6455532,3557521030092,15058412,1,1,49,1
13513,3380,6524850,29801560740900,15220144,1,25,49,73
13633,3410,6641220,30874055520660,15491634,1,1,25,73
13729,3434,6735060,9339029512740,15710557,1,1,49,49
13873,3470,6877045,66211240227790,16041813,1,1,49,73
13969,3494,6972544,2789456870272,16264590,1,1,1,49
13993,3500,6996501,48951019246500,16320504,1,25,25,73
14041,3512,7044573,18283259337864,16432653,1,25,1,1
14089,3524,7092826,2412028966516,16545203,1,25,49,49
14233,3560,7238500,18338551549000,16885085,1,25,49,73
14281,3572,7287393,19565396773404,16999153,1,25,25,1
14353,3590,7361040,37929429556080,17170974,1,1,25,73
14449,3614,7459816,14982376512376,17401416,1,1,49,49
14521,3632,7534332,7641590750352,17575258,1,25,49,1
14689,3674,7709722,622864585519,17984328,1,1,1,49
14713,3680,7734835,83758733733280,18043043,1,25,25,73
14833,3710,7861491,61803032881590,18338534,1,1,1,73
14929,3734,7964622,59451920919,18577719,1,1,25,49
14953,3740,7989175,89357676063700,18636423,1,25,49,73
15073,3770,8117889,35484672860130,18936714,1,1,25,73
15121,3782,8169669,7659081026838,19057509,1,1,1,1
15313,3830,8378400,49138302213600,19544494,1,1,49,73
15409,3854,8483761,12288269685406,19790298,1,1,1,49
